especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
AE38D,2020-09-14,49.1,50,49,49.2,811772,1600052400
AE38D,2020-09-15,48.6,49.1,48.1,48.35,1698882,1600138800
AE38D,2020-09-16,47,47,45,45.15,989133,1600225200
AE38D,2020-09-17,44.75,44.75,42.78,44.25,1504068,1600311600
AE38D,2020-09-18,43.95,45,43.95,44.25,642017,1600398000
AE38D,2020-09-21,43.8,43.8,42.5,43.35,1449133,1600657200
AE38D,2020-09-22,43.73,43.73,42,42.65,1390400,1600743600
AE38D,2020-09-23,42,43,41.25,43,6374115,1600830000
AE38D,2020-09-24,43.19,43.65,42.2,43.4,1826241,1600916400
AE38D,2020-09-25,43.5,43.5,42.21,42.89,1298158,1601002800
AE38D,2020-09-28,43.23,43.4,42.15,42.43,697287,1601262000
AE38D,2020-09-29,42.43,42.5,41.5,41.8,959298,1601348400
AE38D,2020-09-30,42,42.5,41.95,42.4,1501762,1601434800
AE38D,2020-10-01,42.71,43.44,42.2,42.9,721231,1601521200
AE38D,2020-10-02,43.5,43.5,42,42.15,1396984,1601607600
AE38D,2020-10-05,42.49,42.49,41.25,41.65,2154361,1601866800
AE38D,2020-10-06,41.01,41.8,41.01,41.4,1859315,1601953200
AE38D,2020-10-07,41.2,41.88,40.77,41.6,1815305,1602039600
AE38D,2020-10-08,41.25,41.55,41.15,41.44,1077652,1602126000
AE38D,2020-10-09,41.26,42.3,41.26,41.56,1170045,1602212400
AE38D,2020-10-13,41.4,41.99,41,41.56,2183477,1602558000
AE38D,2020-10-14,41.09,41.63,41,41.08,1618256,1602644400
AE38D,2020-10-15,40.91,41,40.05,40.39,1526178,1602730800
AE38D,2020-10-16,40.05,40.6,39.4,39.8,1323665,1602817200
AE38D,2020-10-19,39.5,39.51,38.5,38.85,583481,1603076400
AE38D,2020-10-20,38.85,38.85,37.32,37.8,442262,1603162800
AE38D,2020-10-21,37.38,37.38,36,36.75,1031410,1603249200
AE38D,2020-10-22,36.09,37.74,34.5,37.74,1184580,1603335600
AE38D,2020-10-23,37.04,37.7,36.8,37.28,1384185,1603422000
AE38D,2020-10-26,36.81,36.97,35.9,36,576824,1603681200
AE38D,2020-10-27,36.4,36.6,35.26,36.6,1164066,1603767600
AE38D,2020-10-28,36.19,36.29,35.5,36.1,1248854,1603854000
AE38D,2020-10-29,35.1,36.1,35.1,36.09,1114368,1603940400
AE38D,2020-10-30,36.1,36.4,35.35,35.98,1329842,1604026800
AE38D,2020-11-02,35.4,36.98,35.4,36.25,684809,1604286000
AE38D,2020-11-03,36.25,37.99,36.25,36.85,1337007,1604372400
AE38D,2020-11-04,37.7,38.5,36.5,37.25,759241,1604458800
AE38D,2020-11-05,36.8,37.7,36.8,37.4,312041,1604545200
AE38D,2020-11-06,37.35,37.39,37,37.38,1071319,1604631600
AE38D,2020-11-09,37.15,38,37.15,37.9,854613,1604890800
AE38D,2020-11-10,37.15,38.5,37.15,38.5,545224,1604977200
AE38D,2020-11-11,38.15,38.49,38.1,38.45,327522,1605063600
AE38D,2020-11-12,38.1,39.25,38.1,39,854433,1605150000
AE38D,2020-11-13,38.52,39.67,38.52,39.67,724472,1605236400
AE38D,2020-11-16,39.1,40.1,39.1,39.8,436545,1605495600
AE38D,2020-11-17,39.5,39.74,39.25,39.65,1468598,1605582000
AE38D,2020-11-18,39.5,39.65,39.26,39.4,316889,1605668400
AE38D,2020-11-19,39,39.16,38.75,39,590188,1605754800
AE38D,2020-11-20,39.5,39.5,38.1,38.79,778181,1605841200
AE38D,2020-11-24,38.1,38.94,37.93,38.05,584685,1606186800
AE38D,2020-11-25,38.01,38.12,37.63,38,647750,1606273200
AE38D,2020-11-26,37.65,37.99,37.4,37.51,295063,1606359600
AE38D,2020-11-27,37.25,37.94,37.25,37.5,401311,1606446000
AE38D,2020-11-30,37.05,37.5,36.72,37.15,773634,1606705200
AE38D,2020-12-01,37.4,37.4,36.5,36.95,250365,1606791600
AE38D,2020-12-02,37.35,37.98,36.4,37.98,319456,1606878000
AE38D,2020-12-03,37.4,37.7,36.71,37.7,276618,1606964400
AE38D,2020-12-04,37.7,37.7,36.82,37.13,650115,1607050800
AE38D,2020-12-09,37,37.5,36.5,37.2,555069,1607482800
AE38D,2020-12-10,37.2,37.7,36.75,37.35,527901,1607569200
AE38D,2020-12-11,37.15,37.76,37.01,37.32,570119,1607655600
AE38D,2020-12-14,37,37.79,37,37.42,599086,1607914800
AE38D,2020-12-15,37.49,37.5,36.99,37,813714,1608001200
AE38D,2020-12-16,37,37.35,36.94,37.28,1341538,1608087600
AE38D,2020-12-17,37.02,37.95,37.02,37.9,1567105,1608174000
AE38D,2020-12-18,37.99,38.49,37.51,38.26,736406,1608260400
AE38D,2020-12-21,38.5,38.9,37.9,38.61,522657,1608519600
AE38D,2020-12-22,38.11,39,38.11,38.65,2475962,1608606000
AE38D,2020-12-23,38.74,38.8,38.45,38.58,625210,1608692400
AE38D,2020-12-28,38.1,39.48,38.1,39,178710,1609124400
AE38D,2020-12-29,39.45,39.45,38.2,38.8,179362,1609210800
AE38D,2020-12-30,38.75,38.75,38,38.2,501882,1609297200
AE38D,2021-01-04,38.6,38.89,37.2,37.23,565230,1609729200
AE38D,2021-01-05,37.49,37.49,36.87,36.9,567656,1609815600
AE38D,2021-01-06,37,37.39,36.9,37.38,631522,1609902000
AE38D,2021-01-07,37.88,37.88,37.05,37.11,803585,1609988400
AE38D,2021-01-08,37.4,37.6,36.9,37.08,1123335,1610074800
AE38D,2021-01-11,37.1,37.14,36.06,36.39,928679,1610334000
AE38D,2021-01-12,36.8,36.8,36.08,36.35,329985,1610420400
AE38D,2021-01-13,36.64,37.07,36.12,36.22,746889,1610506800
AE38D,2021-01-14,36.22,36.37,35.5,35.69,570274,1610593200
AE38D,2021-01-15,35.55,35.85,35.41,35.7,593837,1610679600
AE38D,2021-01-18,35.5,36,35.41,35.8,164817,1610938800
AE38D,2021-01-19,35.9,36.54,35.5,35.85,443550,1611025200
AE38D,2021-01-20,35.85,36.36,35.5,36.36,289050,1611111600
AE38D,2021-01-21,36,36.39,35.83,36.01,385240,1611198000
AE38D,2021-01-22,35.7,36.5,35.63,36.2,554315,1611284400
AE38D,2021-01-25,35.95,36.6,35.95,36.5,294170,1611543600
AE38D,2021-01-26,36.7,36.7,36.27,36.38,206346,1611630000
AE38D,2021-01-27,36.15,36.67,36.15,36.67,197933,1611716400
