,especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
0,AL30,2020-09-07,6340.0,6493.0,6100.0,6270.0,3693179,1599447600
1,AL30,2020-09-08,6270.0,6350.0,6200.0,6320.0,13314126,1599534000
2,AL30,2020-09-09,6350.0,6440.0,6348.0,6377.0,29660802,1599620400
3,AL30,2020-09-10,6375.0,6428.5,6370.0,6415.0,31655656,1599706800
4,AL30,2020-09-11,6410.0,6505.0,6395.0,6401.0,36047588,1599793200
5,AL30,2020-09-14,6450.0,6450.0,6350.0,6391.0,43373692,1600052400
6,AL30,2020-09-15,6400.0,6449.0,6203.0,6235.0,45305728,1600138800
7,AL30,2020-09-16,6300.0,6424.0,6050.5,6120.0,22676280,1600225200
8,AL30,2020-09-17,6120.0,6150.0,5870.0,5925.0,40474944,1600311600
9,AL30,2020-09-18,5925.0,6170.0,5920.0,6110.0,29795600,1600398000
10,AL30,2020-09-21,6110.0,6130.0,5917.5,6041.0,26353152,1600657200
11,AL30,2020-09-22,6060.0,6140.0,5996.5,6100.0,33424176,1600743600
12,AL30,2020-09-23,6110.0,6330.0,6056.0,6270.0,43523344,1600830000
13,AL30,2020-09-24,6270.0,6344.0,6010.0,6020.0,44108504,1600916400
14,AL30,2020-09-25,6080.0,6165.0,6050.0,6115.0,40880668,1601002800
15,AL30,2020-09-28,6125.0,6199.0,6110.0,6165.0,31525812,1601262000
16,AL30,2020-09-29,6200.0,6210.0,6160.0,6200.0,44005388,1601348400
17,AL30,2020-09-30,6207.0,6240.0,6173.5,6190.0,43959908,1601434800
18,AL30,2020-10-01,6200.0,6270.0,6114.0,6215.0,41286008,1601521200
19,AL30,2020-10-02,6200.0,6300.0,6120.0,6120.0,58244876,1601607600
20,AL30,2020-10-05,6180.0,6252.0,6180.0,6251.0,44046332,1601866800
21,AL30,2020-10-06,6270.0,6315.0,6200.0,6230.0,41495540,1601953200
22,AL30,2020-10-07,6225.0,6255.0,6205.0,6226.0,32744472,1602039600
23,AL30,2020-10-08,6227.0,6300.0,6190.0,6300.0,20591468,1602126000
24,AL30,2020-10-09,6320.0,6475.0,6300.5,6415.0,54079688,1602212400
25,AL30,2020-10-13,6500.0,6510.0,6422.0,6485.0,47782144,1602558000
26,AL30,2020-10-14,6500.0,6680.0,6491.0,6680.0,43634184,1602644400
27,AL30,2020-10-15,6719.0,7027.5,6690.0,6880.5,63821280,1602730800
28,AL30,2020-10-16,6950.0,7000.0,6710.0,6720.0,70157800,1602817200
29,AL30,2020-10-19,6790.0,6830.0,6560.0,6650.0,48890732,1603076400
30,AL30,2020-10-20,6700.0,6700.0,6505.0,6659.0,48375296,1603162800
31,AL30,2020-10-21,6720.0,6790.0,6550.0,6555.0,79399896,1603249200
32,AL30,2020-10-22,6625.0,6680.0,6520.0,6540.0,62595648,1603335600
33,AL30,2020-10-23,6540.0,6580.0,6230.0,6230.0,81893816,1603422000
34,AL30,2020-10-26,6280.0,6360.0,5975.0,6010.0,50372024,1603681200
35,AL30,2020-10-27,6013.0,6139.5,5995.0,6000.0,43561132,1603767600
36,AL30,2020-10-28,6039.5,6060.0,5620.0,5620.0,66610248,1603854000
37,AL30,2020-10-29,5750.0,5750.0,5575.0,5580.0,57971720,1603940400
38,AL30,2020-10-30,5647.0,5647.0,5440.0,5450.0,53158016,1604026800
39,AL30,2020-11-02,5580.0,5580.0,5380.0,5380.0,56642272,1604286000
40,AL30,2020-11-03,5448.5,5468.0,5370.5,5380.0,87152224,1604372400
41,AL30,2020-11-04,5424.0,5459.5,5364.0,5365.0,116408192,1604458800
42,AL30,2020-11-05,5409.0,5520.0,5380.0,5390.0,87753064,1604545200
43,AL30,2020-11-06,5438.0,5449.5,5375.0,5380.0,28537284,1604631600
44,AL30,2020-11-09,5448.0,5448.0,5410.0,5445.0,51388616,1604890800
45,AL30,2020-11-10,5461.0,5500.0,5430.0,5431.0,73240184,1604977200
46,AL30,2020-11-11,5485.0,5705.0,5445.0,5705.0,42125360,1605063600
47,AL30,2020-11-12,5630.0,5630.0,5508.0,5585.0,69275968,1605150000
48,AL30,2020-11-13,5585.0,5675.0,5585.0,5635.0,63864188,1605236400
49,AL30,2020-11-16,5690.0,5784.0,5662.0,5750.0,62966980,1605495600
50,AL30,2020-11-17,5775.0,5825.0,5766.5,5790.0,49704304,1605582000
51,AL30,2020-11-18,5800.0,5865.0,5800.0,5800.0,73453824,1605668400
52,AL30,2020-11-19,5839.0,5840.0,5775.0,5777.5,46700304,1605754800
53,AL30,2020-11-20,5820.0,5820.0,5745.0,5747.0,55503228,1605841200
54,AL30,2020-11-24,5758.0,5795.0,5700.0,5745.0,35683604,1606186800
55,AL30,2020-11-25,5771.0,5789.0,5706.0,5750.0,36982512,1606273200
56,AL30,2020-11-26,5798.0,5798.0,5713.0,5717.0,25866792,1606359600
57,AL30,2020-11-27,5740.0,5758.0,5615.0,5674.0,26203832,1606446000
58,AL30,2020-11-30,5699.0,5699.0,5551.0,5581.0,29089824,1606705200
59,AL30,2020-12-01,5590.0,5600.0,5554.0,5568.0,16949292,1606791600
60,AL30,2020-12-02,5568.0,5579.5,5507.0,5579.5,21461988,1606878000
61,AL30,2020-12-03,5590.0,5590.0,5424.5,5450.0,23974196,1606964400
62,AL30,2020-12-04,5499.5,5530.0,5440.0,5483.0,24395062,1607050800
63,AL30,2020-12-09,5600.0,5600.0,5445.0,5457.0,26203300,1607482800
64,AL30,2020-12-10,5460.0,5515.0,5420.0,5483.0,27826496,1607569200
65,AL30,2020-12-11,5470.0,5575.0,5438.0,5570.0,20092070,1607655600
66,AL30,2020-12-14,5645.0,5750.0,5570.0,5658.0,27523544,1607914800
67,AL30,2020-12-15,5710.0,5710.0,5658.5,5677.0,22431030,1608001200
68,AL30,2020-12-16,5700.0,5710.0,5580.0,5619.5,26015828,1608087600
69,AL30,2020-12-17,5640.0,5650.0,5587.0,5609.0,22026552,1608174000
70,AL30,2020-12-18,5619.0,5699.5,5610.0,5660.0,54821832,1608260400
71,AL30,2020-12-21,5690.0,5728.0,5655.0,5655.0,28850470,1608519600
72,AL30,2020-12-22,5700.0,5720.0,5675.0,5701.0,34778224,1608606000
73,AL30,2020-12-23,5705.0,5745.0,5700.0,5701.0,54836688,1608692400
74,AL30,2020-12-28,5736.0,5760.0,5714.0,5726.0,60551036,1609124400
75,AL30,2020-12-29,5759.0,5780.0,5730.0,5732.0,42717164,1609210800
76,AL30,2020-12-30,5799.0,5799.0,5730.0,5731.0,66060160,1609297200
77,AL30,2021-01-04,5788.0,5798.0,5759.0,5771.0,89344192,1609729200
78,AL30,2021-01-05,5799.0,5810.0,5772.0,5778.0,86608376,1609815600
79,AL30,2021-01-06,5813.0,5819.0,5790.0,5790.0,108158272,1609902000
80,AL30,2021-01-07,5815.0,5815.0,5762.0,5768.0,69031048,1609988400
81,AL30,2021-01-08,5790.0,5790.0,5726.0,5730.0,58725832,1610074800
82,AL30,2021-01-11,5759.0,5780.0,5690.0,5692.0,41436984,1610334000
83,AL30,2021-01-12,5729.0,5729.0,5657.0,5660.0,37959072,1610420400
84,AL30,2021-01-13,5688.0,5688.0,5640.0,5641.0,44952132,1610506800
85,AL30,2021-01-14,5659.0,5659.0,5630.0,5635.0,48747944,1610593200
86,AL30,2021-01-15,5681.0,5681.0,5624.0,5625.0,53358696,1610679600
87,AL30,2021-01-18,5649.0,5675.0,5630.5,5640.0,56090768,1610938800
88,AL30,2021-01-19,5689.5,5689.5,5642.0,5643.0,50096776,1611025200
89,AL30,2021-01-20,5660.0,5669.0,5638.0,5645.0,33033710,1611111600
90,AL30,2021-01-21,5660.0,5670.0,5647.0,5647.0,38463296,1611198000
91,AL30,2021-01-22,5663.0,5663.0,5641.0,5644.0,40452488,1611284400
92,AL30,2021-01-25,5659.0,5664.0,5649.0,5656.0,35825948,1611543600
93,AL30,2021-01-26,5669.0,5684.0,5658.0,5667.0,40936584,1611630000
94,AL30,2021-01-27,5680.0,5685.0,5661.0,5664.0,38557336,1611716400
95,AL30,2021-01-28,5670.0,5689.0,5659.5,5660.0,51589912,1611802800
96,AL30,2021-01-29,5670.0,5677.5,5638.0,5640.0,29534500,1611889200
97,AL30,2021-02-01,5660.0,5660.0,5645.0,5650.0,37446340,1612148400
98,AL30,2021-02-02,5667.0,5669.0,5650.5,5651.0,36659124,1612234800
99,AL30,2021-02-03,5655.0,5669.5,5641.0,5642.0,33009968,1612321200
100,AL30,2021-02-04,5659.0,5659.0,5637.5,5640.0,34778216,1612407600
101,AL30,2021-02-05,5641.0,5655.0,5626.0,5628.0,39062884,1612494000
102,AL30,2021-02-08,5643.0,5647.5,5626.5,5628.0,27063752,1612753200
103,AL30,2021-02-09,5641.0,5641.0,5618.5,5628.0,22746744,1612839600
104,AL30,2021-02-10,5628.0,5639.0,5590.0,5608.0,23515740,1612926000
105,AL30,2021-02-11,5610.0,5625.0,5490.0,5490.0,21024060,1613012400
106,AL30,2021-02-12,5495.0,5513.5,5358.0,5382.0,13105092,1613098800
107,AL30,2021-02-17,5385.0,5395.0,5180.0,5185.0,20834168,1613530800
108,AL30,2021-02-18,5218.0,5220.0,5055.0,5210.0,32536744,1613617200
109,AL30,2021-02-19,5207.0,5214.0,5060.0,5090.0,41600324,1613703600
110,AL30,2021-02-22,5110.0,5110.0,4900.0,5045.0,57180576,1613962800
111,AL30,2021-02-23,5073.0,5073.0,4940.0,5000.0,28058330,1614049200
112,AL30,2021-02-24,5015.0,5098.5,4960.0,5085.0,21117046,1614135600
113,AL30,2021-02-25,5084.5,5224.5,5039.5,5176.0,33773048,1614222000
114,AL30,2021-02-26,5225.0,5330.0,5185.0,5220.0,44029656,1614308400
115,AL30,2021-03-01,5277.0,5320.0,5263.5,5289.0,38100932,1614567600
116,AL30,2021-03-02,5300.0,5329.0,5296.0,5303.0,2350108,1614654000
117,AL30,2021-03-03,5310.0,5310.0,5205.5,5292.0,777833,1614740400
118,AL30,2021-03-04,5319.0,5340.5,5275.5,5279.0,599825,1614826800
119,AL30,2021-03-05,5303.0,5303.0,5200.5,5215.0,162290,1614913200
120,AL30,2021-03-08,5238.0,5238.0,5131.0,5215.0,381367,1615172400
121,AL30,2021-03-09,5198.0,5199.5,5085.0,5109.0,29040,1615258800
122,AL30,2021-03-10,5090.0,5090.0,4826.0,4840.0,81918,1615345200
123,AL30,2021-03-11,4874.5,4955.0,4825.5,4860.0,22798,1615431600
124,AL30,2021-03-12,4880.0,4990.0,4820.0,4981.0,22627358,1615518000
