especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
AL35,2020-09-07,5500,5825,5500,5680,820048,1599447600
AL35,2020-09-08,5680,5800,5600,5720,2580839,1599534000
AL35,2020-09-09,5850,5850,5660,5670,2460981,1599620400
AL35,2020-09-10,5699,5699,5630,5639,4142565,1599706800
AL35,2020-09-11,5630,5650,5550,5570,822237,1599793200
AL35,2020-09-14,5570,5600,5421,5520,1107962,1600052400
AL35,2020-09-15,5495.5,5590,5420,5429,1229516,1600138800
AL35,2020-09-16,5584.5,5584.5,5255,5340,636736,1600225200
AL35,2020-09-17,5495,5500,5086,5201,1838266,1600311600
AL35,2020-09-18,5210,5399.5,5105.5,5340,2704714,1600398000
AL35,2020-09-21,5350,5450,5150,5315,478203,1600657200
AL35,2020-09-22,5310,5321,5100,5300,1151537,1600743600
AL35,2020-09-23,5300,5470,5194,5401,1502112,1600830000
AL35,2020-09-24,5550,5550,5325,5450,1978419,1600916400
AL35,2020-09-25,5488.5,5700,5435,5530,882672,1601002800
AL35,2020-09-28,5533,5649,5341,5605,482580,1601262000
AL35,2020-09-29,5605,5620,5502,5545,1305354,1601348400
AL35,2020-09-30,5545,5655,5545,5600,846477,1601434800
AL35,2020-10-01,5598,5650,5580,5581,1613509,1601521200
AL35,2020-10-02,5667,5667,5546.5,5555,2541636,1601607600
AL35,2020-10-05,5545,5625,5545,5625,1391743,1601866800
AL35,2020-10-06,5650,5650,5585,5589,1031082,1601953200
AL35,2020-10-07,5589,5650,5500,5531,349763,1602039600
AL35,2020-10-08,5598,5633,5501,5630,785007,1602126000
AL35,2020-10-09,5650,5819.5,5630.5,5780,842427,1602212400
AL35,2020-10-13,5875,5875,5700,5761,728326,1602558000
AL35,2020-10-14,5800,5870,5750,5870,1050328,1602644400
AL35,2020-10-15,5880,6040,5870,5880,1144939,1602730800
AL35,2020-10-16,5900,5999,5800,5873,1914071,1602817200
AL35,2020-10-19,5875,5875,5600,5700,947710,1603076400
AL35,2020-10-20,5595,5750,5500,5715,451539,1603162800
AL35,2020-10-21,5865,5900,5730,5730,4777305,1603249200
AL35,2020-10-22,5800,5850,5606,5760,6738902,1603335600
AL35,2020-10-23,5500,5858,5500,5650,6414310,1603422000
AL35,2020-10-26,5650,5745,5400,5450,515705,1603681200
AL35,2020-10-27,5450,5585,5275,5300,659781,1603767600
AL35,2020-10-28,5300,5325,5150,5200,1369401,1603854000
AL35,2020-10-29,5398,5398,5070,5150,701707,1603940400
AL35,2020-10-30,5100,5200,5020,5021,615092,1604026800
AL35,2020-11-02,5021,5021,4950,4975,610909,1604286000
AL35,2020-11-03,4975,5095,4974.5,5055,351655,1604372400
AL35,2020-11-04,5030,5155,5030,5115,548014,1604458800
AL35,2020-11-05,5100,5200,5075,5175,443167,1604545200
AL35,2020-11-06,5200,5220,5137.5,5150,126188,1604631600
AL35,2020-11-09,5200,5350,5150,5350,2074096,1604890800
AL35,2020-11-10,5449,5449,5200,5280,590022,1604977200
AL35,2020-11-11,5200,5292,5200,5292,1208041,1605063600
AL35,2020-11-12,5295,5350,5180,5211,944852,1605150000
AL35,2020-11-13,5300,5300,5200,5234.5,1010401,1605236400
AL35,2020-11-16,5235,5372,5231,5349,1200483,1605495600
AL35,2020-11-17,5399.5,5433,5325,5415,3623445,1605582000
AL35,2020-11-18,5400,5550,5330,5520.5,2111981,1605668400
AL35,2020-11-19,5518,5595,5425,5450,639626,1605754800
AL35,2020-11-20,5445,5545,5300,5438,1032228,1605841200
AL35,2020-11-24,5410,5435,5200,5339,388272,1606186800
AL35,2020-11-25,5280,5385,5150,5298,749494,1606273200
AL35,2020-11-26,5296,5315,5201,5240,873703,1606359600
AL35,2020-11-27,5289,5289,5220,5289,161036,1606446000
