,especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
0,BA37D,2021-09-10,9300.0,9300.0,9200.0,9200.0,28537,1631242800
1,BA37D,2021-09-13,9299.0,9299.0,9150.0,9150.0,485670,1631502000
2,BA37D,2021-09-14,8700.0,8700.0,8430.0,8600.0,37011812,1631588400
3,BA37D,2021-09-15,8520.0,8700.0,8430.0,8520.0,67726216,1631674800
4,BA37D,2021-09-16,8645.0,8665.0,8620.0,8621.0,151220,1631761200
5,BA37D,2021-09-17,8500.0,8700.0,8500.0,8660.0,99362,1631847600
6,BA37D,2021-09-20,8620.0,8630.0,8510.0,8510.0,51875,1632106800
7,BA37D,2021-09-21,8500.0,8500.0,8445.0,8470.0,68272,1632193200
8,BA37D,2021-09-22,8460.0,8550.0,8450.0,8550.0,159913,1632279600
9,BA37D,2021-09-23,8525.0,8700.0,8525.0,8630.0,87885,1632366000
10,BA37D,2021-09-24,8650.0,8650.0,8600.0,8600.0,73898,1632452400
11,BA37D,2021-09-27,8700.0,8700.0,8649.5,8690.0,257903,1632711600
12,BA37D,2021-09-28,8660.0,8800.0,8610.0,8745.0,305868,1632798000
13,BA37D,2021-09-29,8700.0,9009.0,8700.0,8999.5,573170,1632884400
14,BA37D,2021-09-30,9000.0,9000.0,8850.0,8900.0,157047,1632970800
15,BA37D,2021-10-01,8800.0,8900.0,8800.0,8850.0,3980,1633057200
16,BA37D,2021-10-04,8800.0,8999.0,8760.0,8995.0,230094,1633316400
17,BA37D,2021-10-05,8950.0,8950.0,8800.0,8900.0,57690,1633402800
18,BA37D,2021-10-07,8950.0,8955.0,8850.0,8900.0,141335,1633575600
19,BA37D,2021-10-12,8900.0,8900.0,8710.0,8840.0,177777,1634007600
20,BA37D,2021-10-13,8800.0,8810.0,8790.0,8800.0,96760,1634094000
21,BA37D,2021-10-14,8700.0,8870.0,8700.0,8870.0,47606,1634180400
22,BA37D,2021-10-15,8850.0,8980.0,8770.0,8800.0,107559,1634266800
23,BA37D,2021-10-18,8760.0,8845.0,8760.0,8845.0,81615,1634526000
24,BA37D,2021-10-19,8800.0,8845.0,8780.0,8828.0,21193,1634612400
25,BA37D,2021-10-20,8820.5,8960.0,8820.5,8955.0,936537,1634698800
26,BA37D,2021-10-21,9150.0,9150.0,8900.0,9050.0,1059742,1634785200
27,BA37D,2021-10-22,9050.0,9080.0,9000.5,9080.0,576278,1634871600
28,BA37D,2021-10-25,9090.0,9164.0,9090.0,9164.0,532670,1635130800
29,BA37D,2021-10-26,9140.0,9200.0,9100.0,9200.0,70289,1635217200
30,BA37D,2021-10-27,9200.0,9285.0,9200.0,9240.0,36776,1635303600
31,BA37D,2021-10-28,9285.0,9350.0,9200.5,9350.0,84354,1635390000
32,BA37D,2021-10-29,9305.0,9350.0,9240.0,9300.0,6486,1635476400
33,BA37D,2021-11-01,9300.0,9650.0,9300.0,9620.0,131958,1635735600
34,BA37D,2021-11-02,9620.0,9700.0,9450.0,9700.0,14120,1635822000
35,BA37D,2021-11-03,9845.0,9845.0,9400.0,9400.0,57631,1635908400
36,BA37D,2021-11-04,9400.0,9620.0,9400.0,9.62,64837,1635994800
37,BA37D,2021-11-05,9650.0,9650.0,9620.0,9624.0,35647,1636081200
38,BA37D,2021-11-08,9600.0,9625.0,9520.0,9625.0,18569,1636340400
39,BA37D,2021-11-09,9505.0,9515.0,9400.0,9449.0,29818,1636426800
40,BA37D,2021-11-10,9449.0,9449.0,9290.0,9310.0,22776,1636513200
41,BA37D,2021-11-11,9315.0,9500.0,9315.0,9500.0,11670,1636599600
42,BA37D,2021-11-12,9400.0,9500.0,9360.0,9430.0,230882,1636686000
43,BA37D,2021-11-15,9460.0,9460.0,9310.0,9310.0,39134,1636945200
44,BA37D,2021-11-16,9280.0,9280.0,9200.0,9250.0,89138,1637031600
45,BA37D,2021-11-17,9200.0,9350.0,9200.0,9350.0,70242,1637118000
46,BA37D,2021-11-18,9200.0,9275.0,9200.0,9250.0,15436,1637204400
47,BA37D,2021-11-19,9255.0,9255.0,9250.0,9255.0,8548,1637290800
48,BA37D,2021-11-23,8600.0,9100.0,8600.0,9100.0,2593,1637636400
49,BA37D,2021-11-24,9100.0,9150.0,9100.0,9150.0,539031,1637722800
50,BA37D,2021-11-25,9200.0,9200.0,9110.0,9150.0,1512520,1637809200
51,BA37D,2021-11-26,9050.0,9050.0,9050.0,9050.0,60,1637895600
52,BA37D,2021-11-29,9100.0,9100.0,8785.0,8785.0,29199,1638154800
53,BA37D,2021-11-30,8700.0,8700.0,8400.0,8650.0,76000,1638241200
54,BA37D,2021-12-01,8775.0,8990.0,8775.0,8910.0,148322,1638327600
