especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
GD41,2020-09-08,5300,6000,5300,6000,16362,1599534000
GD41,2020-09-09,5700,5800,5510,5585,64238,1599620400
GD41,2020-09-10,5510,5625,5500,5605,86232,1599706800
GD41,2020-09-11,5615,5620,5549.5,5610,493669,1599793200
GD41,2020-09-14,5400,5705,5400,5705,909944,1600052400
GD41,2020-09-15,5699.5,5710,5500,5699,284344,1600138800
GD41,2020-09-16,5699,5699,5450,5510,81147,1600225200
GD41,2020-09-17,5450,5450,5300,5300,53348,1600311600
GD41,2020-09-18,5250,5400,5250,5350,183921,1600398000
GD41,2020-09-21,5300,5300,5180,5200,32781,1600657200
GD41,2020-09-22,5150,5390,5150,5333,423708,1600743600
GD41,2020-09-23,5370,5550,5230,5500,343031,1600830000
GD41,2020-09-24,5501,5650,5400,5525,1021252,1600916400
GD41,2020-09-25,5600,5655.5,5540,5620,218010,1601002800
GD41,2020-09-28,5575,5840,5575,5700,32672,1601262000
GD41,2020-09-29,5700,5850,5612,5830,132851,1601348400
GD41,2020-09-30,6000,6000,5746,5815,218354,1601434800
GD41,2020-10-01,5889.5,6000,5800,5839,440790,1601521200
GD41,2020-10-02,5890,5990,5784,5899,550171,1601607600
GD41,2020-10-05,5997,5997,5780,5910,139413,1601866800
GD41,2020-10-06,5994.5,5994.5,5750,5895,432235,1601953200
GD41,2020-10-07,5750,5895,5680,5744,196169,1602039600
GD41,2020-10-08,5849,5849,5650,5740,230589,1602126000
GD41,2020-10-09,5559,6150,5559,5953,849730,1602212400
GD41,2020-10-13,5950,6130,5833.5,5925,643353,1602558000
GD41,2020-10-14,5990,5990,5870,5900,3169001,1602644400
GD41,2020-10-15,5970,6045,5910,6000,1915465,1602730800
GD41,2020-10-16,6080,6190,5976,6099,838413,1602817200
GD41,2020-10-19,6050,6050,5801,5864.5,2362520,1603076400
GD41,2020-10-20,5899,5970,5752,5970,625904,1603162800
GD41,2020-10-21,6042,6240,5900,6175,550374,1603249200
GD41,2020-10-22,6000,6350,6000,6250,670278,1603335600
GD41,2020-10-23,6250,6295,6080,6200,62261,1603422000
GD41,2020-10-26,6200,6200,6000,6000,30861,1603681200
GD41,2020-10-27,6000,6000,5750,5750,99395,1603767600
GD41,2020-10-28,5751,5751,5450,5460,20432,1603854000
GD41,2020-10-29,5500,5500,5340,5450,110052,1603940400
GD41,2020-10-30,5460,5460,5300,5300,15585,1604026800
GD41,2020-11-02,5310,5439.5,5300,5300,194292,1604286000
GD41,2020-11-03,5250,5400,5250,5300,116572,1604372400
GD41,2020-11-04,5300,5490,5300,5350,918842,1604458800
GD41,2020-11-05,5250,5690,5250,5690,2888840,1604545200
GD41,2020-11-06,5689,5689,5600,5680,1883,1604631600
GD41,2020-11-09,5590,5650,5550,5605,408186,1604890800
