especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
TX26,2020-09-07,84,85.56,83.5,84.7,623837184,1599447600
TX26,2020-09-08,84.9,84.9,83,83.95,800746816,1599534000
TX26,2020-09-09,83.2,85,83,84.7,470201408,1599620400
TX26,2020-09-10,84.7,84.99,84,84.8,285267520,1599706800
TX26,2020-09-11,84.99,85.15,84.5,84.71,100036368,1599793200
TX26,2020-09-14,84.71,85.09,83.8,84.65,159402720,1600052400
TX26,2020-09-15,86,86,84.1,84.65,286098880,1600138800
TX26,2020-09-16,84.4,85,84,84.75,381082048,1600225200
TX26,2020-09-17,84,84.94,84,84.7,166457984,1600311600
TX26,2020-09-18,84.9,85.29,84.5,85.08,634152896,1600398000
TX26,2020-09-21,84.6,85.25,84,85,338290624,1600657200
TX26,2020-09-22,84.05,85.35,84.05,85.1,201368112,1600743600
TX26,2020-09-23,84.3,85.48,83.54,83.99,220191952,1600830000
TX26,2020-09-24,83.1,83.95,82,82.15,194378176,1600916400
TX26,2020-09-25,84,84,81.5,82.58,173414656,1601002800
TX26,2020-09-28,82,82.94,82,82.31,136475712,1601262000
TX26,2020-09-29,82.05,82.6,82.05,82.55,79266056,1601348400
TX26,2020-09-30,82.6,83.98,82.3,83.8,137043792,1601434800
TX26,2020-10-01,83.7,84.65,83.2,83.8,107438248,1601521200
TX26,2020-10-02,82.5,85.3,82.5,84.98,198346144,1601607600
TX26,2020-10-05,84,85.4,83.6,84.6,64313608,1601866800
TX26,2020-10-06,83.6,84.6,83.21,83.5,180114352,1601953200
TX26,2020-10-07,82.3,83.6,82.12,82.5,112616720,1602039600
TX26,2020-10-08,83.2,83.2,81.2,81.95,121533560,1602126000
TX26,2020-10-09,81,82.25,79,79.85,137216656,1602212400
TX26,2020-10-13,78.8,79.5,75.46,77.61,131075768,1602558000
TX26,2020-10-14,78,79.6,77,78.9,183689360,1602644400
TX26,2020-10-15,78,78.3,74.6,74.75,53144236,1602730800
TX26,2020-10-16,74,77.39,74,77,123994864,1602817200
TX26,2020-10-19,76,78,74.85,77.6,39380656,1603076400
TX26,2020-10-20,78.95,79,77,78,99687088,1603162800
TX26,2020-10-21,78,78,75.99,76,16916234,1603249200
TX26,2020-10-22,77.6,77.6,74,74.1,55899848,1603335600
TX26,2020-10-23,74.1,74.9,73.5,74.15,83405768,1603422000
TX26,2020-10-26,74.1,74.72,70.1,70.1,35995060,1603681200
TX26,2020-10-27,70,70.75,67.1,69,124959256,1603767600
TX26,2020-10-28,69,70,67.1,68.1,160328880,1603854000
TX26,2020-10-29,68.5,71.45,67.75,70.84,250056464,1603940400
TX26,2020-10-30,70,73.45,70,72.85,268366864,1604026800
TX26,2020-11-02,72.75,73.9,71,73.9,120697088,1604286000
TX26,2020-11-03,74.99,77.4,73.25,76.5,231443120,1604372400
TX26,2020-11-04,76.5,78.15,76.5,77.99,158710928,1604458800
TX26,2020-11-05,78.5,78.5,77.5,77.7,323199872,1604545200
TX26,2020-11-06,79.5,79.5,76.2,76.95,1581999,1604631600
TX26,2020-11-09,76.95,79.4,76.95,78.94,124062688,1604890800
TX26,2020-11-10,78.9,79.5,77.55,78.75,58904216,1604977200
TX26,2020-11-11,78.5,80.74,78.25,80.6,119577472,1605063600
TX26,2020-11-12,80.6,84.75,79,84.6,362358496,1605150000
TX26,2020-11-13,84,86.5,84,84.84,243810448,1605236400
