Bono,Fecha,Interés,Amortización,Total
ae38,10/7/2024,2.14,0.00,2.14
ae38,9/1/2025,2.49,0.00,2.49
ae38,10/7/2025,2.51,0.00,2.51
ae38,9/1/2026,2.49,0.00,2.49
ae38,10/7/2026,2.51,0.00,2.51
ae38,11/1/2027,2.51,0.00,2.51
ae38,12/7/2027,2.51,4.54,7.05
ae38,10/1/2028,2.36,4.54,6.90
ae38,10/7/2028,2.27,4.54,6.81
ae38,9/1/2029,2.15,4.54,6.69
ae38,10/7/2029,2.06,4.54,6.60
ae38,9/1/2030,1.92,4.54,6.46
ae38,10/7/2030,1.83,4.54,6.37
ae38,9/1/2031,1.70,4.54,6.24
ae38,10/7/2031,1.60,4.54,6.14
ae38,9/1/2032,1.47,4.54,6.01
ae38,12/7/2032,1.39,4.54,5.93
ae38,10/1/2033,1.24,4.54,5.78
ae38,11/7/2033,1.14,4.54,5.68
ae38,9/1/2034,1.01,4.54,5.55
ae38,10/7/2034,0.92,4.54,5.46
ae38,9/1/2035,0.79,4.54,5.33
ae38,10/7/2035,0.69,4.54,5.23
ae38,9/1/2036,0.57,4.54,5.11
ae38,10/7/2036,0.46,4.54,5.00
ae38,9/1/2037,0.34,4.54,4.88
ae38,10/7/2037,0.23,4.54,4.77
ae38,11/1/2038,0.12,4.66,4.78
gd38,10/7/2024,2.14,0.00,2.14
gd38,9/1/2025,2.49,0.00,2.49
gd38,10/7/2025,2.51,0.00,2.51
gd38,9/1/2026,2.49,0.00,2.49
gd38,10/7/2026,2.51,0.00,2.51
gd38,11/1/2027,2.51,0.00,2.51
gd38,12/7/2027,2.51,4.54,7.05
gd38,10/1/2028,2.36,4.54,6.90
gd38,10/7/2028,2.27,4.54,6.81
gd38,9/1/2029,2.15,4.54,6.69
gd38,10/7/2029,2.06,4.54,6.60
gd38,9/1/2030,1.92,4.54,6.46
gd38,10/7/2030,1.83,4.54,6.37
gd38,9/1/2031,1.70,4.54,6.24
gd38,10/7/2031,1.60,4.54,6.14
gd38,9/1/2032,1.47,4.54,6.01
gd38,12/7/2032,1.39,4.54,5.93
gd38,10/1/2033,1.24,4.54,5.78
gd38,11/7/2033,1.14,4.54,5.68
gd38,9/1/2034,1.01,4.54,5.55
gd38,10/7/2034,0.92,4.54,5.46
gd38,9/1/2035,0.79,4.54,5.33
gd38,10/7/2035,0.69,4.54,5.23
gd38,9/1/2036,0.57,4.54,5.11
gd38,10/7/2036,0.46,4.54,5.00
gd38,9/1/2037,0.34,4.54,4.88
gd38,10/7/2037,0.23,4.54,4.77
gd38,11/1/2038,0.12,4.66,4.78
gd41,10/7/2024,1.76,0.00,1.76
gd41,9/1/2025,1.74,0.00,1.74
gd41,10/7/2025,1.76,0.00,1.76
gd41,9/1/2026,1.74,0.00,1.74
gd41,10/7/2026,1.76,0.00,1.76
gd41,11/1/2027,1.76,0.00,1.76
gd41,12/7/2027,1.76,0.00,1.76
gd41,10/1/2028,1.73,3.57,5.30
gd41,10/7/2028,1.69,3.57,5.26
gd41,9/1/2029,1.62,3.57,5.19
gd41,10/7/2029,1.57,3.57,5.14
gd41,9/1/2030,2.08,3.57,5.65
gd41,10/7/2030,2.01,3.57,5.58
gd41,9/1/2031,1.90,3.57,5.47
gd41,10/7/2031,1.84,3.57,5.41
gd41,9/1/2032,1.73,3.57,5.30
gd41,12/7/2032,1.68,3.57,5.25
gd41,10/1/2033,1.55,3.57,5.12
gd41,11/7/2033,1.49,3.57,5.06
gd41,9/1/2034,1.38,3.57,4.95
gd41,10/7/2034,1.31,3.57,4.88
gd41,9/1/2035,1.21,3.57,4.78
gd41,10/7/2035,1.14,3.57,4.71
gd41,9/1/2036,1.04,3.57,4.61
gd41,10/7/2036,0.96,3.57,4.53
gd41,9/1/2037,0.87,3.57,4.44
gd41,10/7/2037,0.79,3.57,4.36
gd41,11/1/2038,0.70,3.57,4.27
gd41,12/7/2038,0.61,3.57,4.18
gd41,10/1/2039,0.52,3.57,4.09
gd41,11/7/2039,0.44,3.57,4.01
gd41,9/1/2040,0.35,3.57,3.92
gd41,10/7/2040,0.26,3.57,3.83
gd41,9/1/2041,0.17,3.57,3.74
gd41,10/7/2041,0.09,3.61,3.70
al41,10/7/2024,1.76,0.00,1.76
al41,9/1/2025,1.74,0.00,1.74
al41,10/7/2025,1.76,0.00,1.76
al41,9/1/2026,1.74,0.00,1.74
al41,10/7/2026,1.76,0.00,1.76
al41,11/1/2027,1.76,0.00,1.76
al41,12/7/2027,1.76,0.00,1.76
al41,10/1/2028,1.73,3.57,5.30
al41,10/7/2028,1.69,3.57,5.26
al41,9/1/2029,1.62,3.57,5.19
al41,10/7/2029,1.57,3.57,5.14
al41,9/1/2030,2.08,3.57,5.65
al41,10/7/2030,2.01,3.57,5.58
al41,9/1/2031,1.90,3.57,5.47
al41,10/7/2031,1.84,3.57,5.41
al41,9/1/2032,1.73,3.57,5.30
al41,12/7/2032,1.68,3.57,5.25
al41,10/1/2033,1.55,3.57,5.12
al41,11/7/2033,1.49,3.57,5.06
al41,9/1/2034,1.38,3.57,4.95
al41,10/7/2034,1.31,3.57,4.88
al41,9/1/2035,1.21,3.57,4.78
al41,10/7/2035,1.14,3.57,4.71
al41,9/1/2036,1.04,3.57,4.61
al41,10/7/2036,0.96,3.57,4.53
al41,9/1/2037,0.87,3.57,4.44
al41,10/7/2037,0.79,3.57,4.36
al41,11/1/2038,0.70,3.57,4.27
al41,12/7/2038,0.61,3.57,4.18
al41,10/1/2039,0.52,3.57,4.09
al41,11/7/2039,0.44,3.57,4.01
al41,9/1/2040,0.35,3.57,3.92
al41,10/7/2040,0.26,3.57,3.83
al41,9/1/2041,0.17,3.57,3.74
al41,10/7/2041,0.09,3.61,3.70
al35,10/7/2024,1.82,0.00,1.82
al35,9/1/2025,2.05,0.00,2.05
al35,10/7/2025,2.07,0.00,2.07
al35,9/1/2026,2.05,0.00,2.05
al35,10/7/2026,2.07,0.00,2.07
al35,9/1/2027,2.05,0.00,2.05
al35,12/7/2027,2.10,0.00,2.10
al35,10/1/2028,2.35,0.00,2.35
al35,10/7/2028,2.38,0.00,2.38
al35,9/1/2029,2.49,0.00,2.49
